text	count	kinds	refs
类别1	7	literal	src/configs/chart.ts:16,src/configs/chart.ts:21,src/configs/chart.ts:26,src/configs/chart.ts:31,src/configs/chart.ts:36,src/configs/chart.ts:41,src/configs/chart.ts:46
类别2	7	literal	src/configs/chart.ts:16,src/configs/chart.ts:21,src/configs/chart.ts:26,src/configs/chart.ts:31,src/configs/chart.ts:36,src/configs/chart.ts:41,src/configs/chart.ts:46
类别3	7	literal	src/configs/chart.ts:16,src/configs/chart.ts:21,src/configs/chart.ts:26,src/configs/chart.ts:31,src/configs/chart.ts:36,src/configs/chart.ts:41,src/configs/chart.ts:46
类别4	7	literal	src/configs/chart.ts:16,src/configs/chart.ts:21,src/configs/chart.ts:26,src/configs/chart.ts:31,src/configs/chart.ts:36,src/configs/chart.ts:41,src/configs/chart.ts:46
类别5	7	literal	src/configs/chart.ts:16,src/configs/chart.ts:21,src/configs/chart.ts:26,src/configs/chart.ts:31,src/configs/chart.ts:36,src/configs/chart.ts:41,src/configs/chart.ts:46
系列1	5	literal	src/configs/chart.ts:17,src/configs/chart.ts:22,src/configs/chart.ts:27,src/configs/chart.ts:42,src/configs/chart.ts:47
系列2	5	literal	src/configs/chart.ts:17,src/configs/chart.ts:22,src/configs/chart.ts:27,src/configs/chart.ts:42,src/configs/chart.ts:47
官方制作	4	literal	src/store/slides.ts:56,src/store/slides.ts:57,src/store/slides.ts:58,src/store/slides.ts:59
社区贡献+官方深度完善优化	4	literal	src/store/slides.ts:60,src/store/slides.ts:61,src/store/slides.ts:62,src/store/slides.ts:63
下划线	3	literal	src/configs/hotkey.ts:131,src/views/Editor/Toolbar/ElementStylePanel/TableStylePanel.vue:75,src/views/Editor/Toolbar/common/RichTextBase.vue:88
删除列	3	literal,template	src/views/components/element/TableElement/EditableTable.vue:750,src/views/Editor/Canvas/ElementFloatLayer/FloatingToolbar/TableToolbar.vue:34,src/views/Editor/Toolbar/ElementStylePanel/TableStylePanel.vue:137
删除行	3	literal,template	src/views/components/element/TableElement/EditableTable.vue:755,src/views/Editor/Canvas/ElementFloatLayer/FloatingToolbar/TableToolbar.vue:33,src/views/Editor/Toolbar/ElementStylePanel/TableStylePanel.vue:123
加粗	3	literal	src/configs/hotkey.ts:129,src/views/Editor/Toolbar/ElementStylePanel/TableStylePanel.vue:63,src/views/Editor/Toolbar/common/RichTextBase.vue:76
取消组合	3	literal,template	src/configs/hotkey.ts:98,src/views/Editor/Canvas/EditableElement.vue:145,src/views/Editor/Toolbar/MultiPositionPanel.vue:22
墨迹粗细：	3	template	src/views/Screen/WritingBoardTool.vue:35,src/views/Screen/WritingBoardTool.vue:52,src/views/Screen/WritingBoardTool.vue:63
应用到主题	3	template	src/views/Editor/Toolbar/SlideDesignPanel/ThemeStylesExtract.vue:18,src/views/Editor/Toolbar/SlideDesignPanel/ThemeStylesExtract.vue:31,src/views/Editor/Toolbar/SlideDesignPanel/ThemeStylesExtract.vue:44
弹跳	3	literal	src/configs/animation.ts:10,src/configs/animation.ts:101,src/configs/animation.ts:207
微软雅黑	3	literal	src/hooks/useExport.ts:556,src/hooks/useExport.ts:702,src/hooks/useExport.ts:894
按住 Ctrl 或 Shift	3	literal	src/configs/hotkey.ts:55,src/configs/hotkey.ts:101,src/configs/hotkey.ts:103
斜体	3	literal	src/configs/hotkey.ts:130,src/views/Editor/Toolbar/ElementStylePanel/TableStylePanel.vue:69,src/views/Editor/Toolbar/common/RichTextBase.vue:82
新的一项	3	literal	src/components/OutlineEditor.vue:228,src/components/OutlineEditor.vue:239,src/components/OutlineEditor.vue:243
无法正确读取 / 解析该文件	3	literal	src/hooks/useImport.ts:358,src/hooks/useImport.ts:391,src/hooks/useImport.ts:677
该模型API的并发数过高，请更换其他模型重试	3	literal	src/views/Editor/AIPPTDialog.vue:197,src/views/Editor/AIPPTDialog.vue:245,src/views/Editor/Toolbar/common/RichTextBase.vue:355
边框样式：	3	template	src/views/Editor/Canvas/ElementFloatLayer/FloatingToolbar/BorderPanel.vue:9,src/views/Editor/Toolbar/SlideDesignPanel/index.vue:175,src/views/Editor/Toolbar/common/ElementOutline.vue:14
通用	3	literal	src/configs/hotkey.ts:44,src/views/Editor/AIPPTDialog.vue:47,src/views/Editor/AIPPTDialog.vue:147
上边距：	2	template	src/views/Editor/Toolbar/ElementStylePanel/ShapeStylePanel.vue:161,src/views/Editor/Toolbar/ElementStylePanel/TextStylePanel.vue:82
下边距：	2	template	src/views/Editor/Toolbar/ElementStylePanel/ShapeStylePanel.vue:171,src/views/Editor/Toolbar/ElementStylePanel/TextStylePanel.vue:92
不是正确的网页链接地址	2	literal	src/hooks/useLink.ts:14,src/views/Editor/Toolbar/common/RichTextBase.vue:322
中文	2	literal	src/views/Editor/AIPPTDialog.vue:34,src/views/Editor/AIPPTDialog.vue:146
倍	2	literal	src/views/Editor/Toolbar/ElementStylePanel/ShapeStylePanel.vue:114,src/views/Editor/Toolbar/ElementStylePanel/TextStylePanel.vue:23
值	2	literal	src/configs/chart.ts:32,src/configs/chart.ts:37
切换下一页	2	literal	src/configs/hotkey.ts:67,src/configs/hotkey.ts:68
删除线	2	literal	src/views/Editor/Toolbar/ElementStylePanel/TableStylePanel.vue:81,src/views/Editor/Toolbar/common/RichTextBase.vue:94
加载中...	2	literal	src/views/Editor/ImageLibPanel.vue:16,src/views/Editor/Thumbnails/Templates.vue:11
右边距：	2	template	src/views/Editor/Toolbar/ElementStylePanel/ShapeStylePanel.vue:192,src/views/Editor/Toolbar/ElementStylePanel/TextStylePanel.vue:113
垂直：	2	template	src/views/Editor/CanvasTool/SVGPathEditor.vue:119,src/views/Editor/CanvasTool/SVGPathEditor.vue:147
左边距：	2	template	src/views/Editor/Toolbar/ElementStylePanel/ShapeStylePanel.vue:182,src/views/Editor/Toolbar/ElementStylePanel/TextStylePanel.vue:103
控制点：	2	template	src/views/Editor/CanvasTool/SVGPathEditor.vue:127,src/views/Editor/CanvasTool/SVGPathEditor.vue:156
新的一章	2	literal	src/components/OutlineEditor.vue:200,src/components/OutlineEditor.vue:208
新的一节	2	literal	src/components/OutlineEditor.vue:212,src/components/OutlineEditor.vue:224
方形	2	literal	src/views/Editor/ImageLibPanel.vue:102,src/views/Editor/ImageLibPanel.vue:108
晃动	2	literal	src/configs/animation.ts:192,src/configs/animation.ts:198
未命名演示文稿	2	literal	src/store/slides.ts:33,src/store/slides.ts:116
横向	2	literal	src/views/Editor/ImageLibPanel.vue:100,src/views/Editor/ImageLibPanel.vue:106
水平：	2	template	src/views/Editor/CanvasTool/SVGPathEditor.vue:109,src/views/Editor/CanvasTool/SVGPathEditor.vue:137
测试用户	2	literal	src/views/Editor/NotesPanel.vue:124,src/views/Editor/NotesPanel.vue:156
浮现	2	literal	src/configs/animation.ts:21,src/configs/animation.ts:112
移除	2	template	src/views/Editor/Canvas/ElementFloatLayer/LinkHandler.vue:8,src/views/Editor/Toolbar/common/RichTextBase.vue:156
纵向	2	literal	src/views/Editor/ImageLibPanel.vue:101,src/views/Editor/ImageLibPanel.vue:107
